!zzl_superjump2! 181.47 Cupe ar
deathrun_ghoztlightz_ez 45.74 colcol` hk
deathrun_impasable 78.62 Huevo ar
deathrun_inthetetris 128.32 f0rged uy
deathrun_laserspace 65.41 Gonx@ ar
deathrun_ng_oui_final 112.76 colcol` hk
deathrun_pasable 67.89 MRJUICE ar
deathrun_queen 93.61 Dolphin ru
deathrun_roadoffear_rc 65.87 sick_ ua
deathrun_splash!_timer 106.19 shxKh hk
deathrun_unreal_play 62.89 Gonxa ar
deathrun_unreal_tuscan 102.84 hrznnn de
deathrun_y_snow_wind_v3 100.82 colcol` hk
deathrun_zic_zac 77.38 Gonxa ar
deathvalley2 107.49 Nukk ru
dg_insen 324.92 Dubstep ru
dg_mini_climb 28.62 talita ar
dkz_caveclimb 120.54 Cupe ar
dkz_extend[easy] 123.24 gatito ar
dkz_extend[hard] 162.43 colcol` hk
dmnt_cys_architecture 51.72 sonii br
dmnt_cys_fastbhop_h 26.53 noxeR sk
dnz_colordust 73.01 KenLawrence ru
dnz_spacehops 170.07 Dubstep ru
doesnt_acgu 26.13 talita ar
doesnt_blackgreyblack 68.69 hrznnn de
doesnt_grassstrafez 17.26 PMSA cn
doesnt_haku 28.44 shxKh hk
doesnt_hexajumps 60.88 KenLawrence ru
doesnt_quicktime 41.9 Ranma kr
doesnt_shortclimb 31.63 colcol` hk
doesnt_stairshop 19.65 shxKh hk
dokee_dawnhop 102.71 KenLawrence ru
dokee_extremeblock 176.83 .script br
dokee_extremeblock_ez 81.35 .script br
dokee_extreme_test 174.62 .script br
dolphin_2015 6.13 noxeR sk
doze_ljrun 40.79 Dolphin ru
dp_intoNature 265.46 colcol` hk
dr0_cavernhop 78.32 Cupe ar
dr0_colorado_mesa 339.9 fanzeng us
dr0_deadmines_b02 686.83 chinakungfu cn
dr0_deepbluesea 190.5 aLeee ar
dr0_dungeon 623.99 Berkut ua
dr0_ezswamplands 417.1 Cupe ar
dr0_longjumpz[216-224] 23.73 Mrjuice ar
dr0_longjumpz[232-235] 16.52 sonii br
dr0_longjumpz[236-238] 9.81 Mrjuice ar
dr0_longjumpz[239-240] 7.4 FAME ua
dr0_lost_sector 179.88 DizZy tw
dr0_lost_sector_ez 154.77 DizZy tw
dr0_sienna 355.04 Adantoud ua
dr0_swamplands 447.87 Cupe ar
drewbie_longjumps_ez 20.54 Mrjuice ar
drh_bhop_dust2 83.69 DizZy tw
dsk_antiquebhop 85.1 vodkamouth lv
dsk_bhopfactory 22.08 shxKh hk
dsk_boxes 4.23 hrznnn de
dsk_dust 24.56 Nukk ru
dsk_speedfactory_s 13.53 wayz de
dsoc_bhopinfun 92.59 Cupe ar
dsoc_bhopinfun_ez 78.96 DizZy tw
dspc_egypt 50.67 betty_k fi
ds_autumn 97.12 Cupe ar
ds_ice 70.43 R4D14710N br
dubsickk_2012 17.79 FAME ua
duckbug 4.16 juhx ru
duckez_scrollbreaker 13.2 colcol` hk
dumbleblock 105.45 Cupe ar
dumble_w00dblock[easy] 113.13 Cupe ar
dumble_w00dblock[hard] 517.2 ScraP de
dw_ezcaveclimb 259.56 Cupe ar
dyd_bhop 200.85 patchouli jp
dyd_booster 17.32 throttle by
dyd_brick 419.88 Johnny fi
dyd_ebfun 25.33 Zzz` us
dyd_eb_hour 11.98 juhx ru
dyd_forgebhop 45.81 betty_k fi
dyd_grassvalley 120.69 drizz es
dyd_hb_adantoud 82.28 throttle by
dyd_hb_betty_k 96.62 throttle by
dyd_hb_juhx 82.29 Toffifee ru
dyd_hb_throttle 0 n/a n-a
dyd_hb_throttle_ez 128.55 throttle by
dyd_juhxbhop 21.74 shxKh hk
dyd_jx_xmasbhop 23 aLeee ar
dyd_ladderjumps 30.86 NoNamerz ru
dyd_ladderjumps_h 42.16 NoNamerz ru
dyd_mcbhop 50.42 Juby tw
dyd_minihj 71.48 inspare ru
dyd_minihj_h 117.84 inspare ru
dyd_Nukk_2012 56.23 colcol` hk
dyd_onlime 3380.68 .script br
dyd_onlime_ez 241.89 patchouli jp
dyd_paintskill 62.32 Juby tw
dyd_paintskill2 41.19 colcol` hk
dyd_palmbhop 23.65 Juby tw
dyd_progressive 143.84 betty_k fi
dyd_seal 41.43 Dolphin ru
dyd_sr 0 n/a n-a
dyd_strafejumps_h 63.12 .script br
dyd_toonblock 122.73 Johnny fi
dyd_xmas2015 315.06 .script br
dyd_xmas2016 37.06 Dolphin ru
eb_odyssey 31.22 aloprando br
eec_bhop 19.19 shxKh hk
eec_obs 10.58 lambdaaa kr
Elz_bhoppalace 30.28 wayz de
Elz_randomblock 36.89 colcol` hk
Elz_smileybhop 61.14 FAME ua
em_newbieee 198.05 Cupe ar
eq_brick_climb_ez 49.86 colcol` hk
eq_desert_bhop_v1 41.82 Dolphin ru
eq_newyork_ez 39.15 talita ar
ersykzer_slide_longjumps_ez 76.91 BuTaMuH lv
ersykzer_slide_longjumps_h 99.4 BuTaMuH lv
ersykzer_slide_longjumps_x 117.69 jquery n-a
esc_dust2_b02 29.04 talita ar
esc_dust2_b03 73.71 Cupe ar
esc_thepit_b02 215.2 Cupe ar
etl_4block 278.09 fykseN cz
etl_duck 45.71 duct1 ru
etl_forsakenblock 194.5 Cupe ar
etl_groundstrafe 17.2 badgamer be
etl_housebhop 42.03 fanzeng cn
etl_longjumps_e 34.18 Dolphin ru
etl_ruins 165.2 Cupe ar
etl_sandblock 87.76 aloprando br
etl_slide_brickgrass 67.93 BuTaMuH lv
etl_spacebhop 242.02 colcol` hk
etl_speedcliff 60.25 KenLawrence ru
etl_speedcliff2 69.14 KenLawrence ru
etl_stageblock 79.49 hrznnn de
etl_storage 91.86 memek pl
evil_mcj 11.51 Ranma kr
ev_mc_comeback 19.45 aloprando br
ev_mc_random 28.1 sick_ ua
ev_mc_slide 31.19 BuTaMuH lv
Expansion_2012 41.69 memek pl
extremebeachrace 645.6 patchouli cn
extremebeachrace_ez 168.9 .script br
extreme_jumpluminous 95.24 betty_k fi
ex_shc_big 448.81 Cupe ar
fastrun 26.59 shxKh hk
fastrun2012 37.99 Casper us
fast_stairsnclimb 59.86 colcol` hk
fcz_aztec 20.99 KenLawrence ru
fcz_minibox 23.73 Dolphin fr
fcz_minimap 40.9 juhx ru
fcz_slideup 13.67 BuTaMuH lv
fcz_tundra 102.73 Dolphin ru
fcz_unitz 17.95 Dolphin ru
firs_room_x 249.3 .script br
fixed_bhop_jellybhop 62.03 yashiro br
fkn_brickruins 48.27 colcol` hk
fkzj_iblock 192.43 Cupe ar
flG_househop 39.4 KenLawrence ru
fli_circlejump 18.45 wolv. br
flr_bhopvoxx 100.65 Cupe ar
flr_glacier 123.64 Cupe ar
fof_dale 33.21 buh ar
fof_xmas2008 28.21 wayz de
fof_xmas2008[270] 23.96 aloprando br
fof_xmas2009 51.66 Dolphin ru
forbidden_sw1ft_2012 41.46 wayz de
for_shystrik 6.85 DeathClaw ru
for_shystrik_ez 6.8 sonii br
fox_bhopspeed 58.24 shxKh hk
fox_cavebhop 38.78 talita ar
fox_duckjumps 20.17 kzz1lla qa
fox_ljwarehouse[e] 19.14 juhx ru
fox_ljwarehouse[h] 19.58 Mrjuice ar
fox_ljwarehouse[x] 2.51 sonii br
fox_smallvalleyhop_b01 30.71 talita ar
fox_wjvalley 78.4 Johnny fi
fox_wjvalley_ez 67.79 sonii br
frigid 165.43 Cupe ar
frigidez 135.75 Cupe ar
fs_60units 47.17 thesergei ru
fs_box 23.55 talita ar
fs_castleblock 75.86 mainz ru
fs_chqari 31.16 klincheR bg
fs_colorhop 64.19 Dolphin ru
fs_darkside 96.78 .script br
fs_devilsnight 45.78 aLeee ar
fs_easyblock 77.7 translucent ru
fs_fabric 26.05 juhx ru
fs_funbrick 42.04 Linlin se
fs_greenzone 107.93 colcol` hk
fs_hb_juhx 14.75 sick_ ua
fs_idikchortu 14.35 translucent ru
fs_invisblock 25.63 sick_ ua
fs_metalblock 80.95 mainz ru
fs_minishit 22.37 sick_ ua
fs_noname 45.85 aloprando br
fs_nuke 15.06 LvenG cn
fs_oldproject 104.67 Nukk ru
fs_quickbhop 39.84 DizZy tw
fs_rockshop 22.95 shxKh hk
fs_session1 25.38 sick_ ua
fs_shortbhop 32.4 Mrjuice ar
fs_slidelj 24.74 BloLy cn
fs_slide_big 202.83 sick_ ua
fs_slide_brickngrass 26.11 BuTaMuH lv
fs_slide_brickngrass2 25.06 BuTaMuH lv
fs_stairmaster 44.27 maotiao cn
fs_storage 28.93 Dolphin ru
fs_streetjump 78.49 colcol` hk
fs_wallbug 38.37 brokoly ro
fs_waterjump 102.15 colcol` hk
ftw_deathzone 158.5 sonii br
ftw_fastbhop 112.44 patchouli jp
ftw_M1s4yLL 17.87 DaTBuMz vn
fu_bawhop 174.12 Johnny fi
fu_darkblock 0 n/a n-a
fu_freakhop 160.2 colcol` hk
fu_plainhop 266.06 throttle by
fu_replayhopez 219.17 DOVLA rs
gamed_beginner 95.99 Quality se
gayl0rd_bhop 137.09 throttle by
ga_bhopwarehouse 8.05 badgamer be
ga_bhopwarehousez 71.21 Dolphin ru
gbc_average_bhop 68.41 sonii br
gbc_b0ss 196.3 .script br
gbc_b0ss_ez 20.67 .script br
gbc_easy_bhop 123.17 Juby tw
gbc_hb_juhx 65.27 round ru
gbc_hb_vitinho 88.79 sonii br
gbc_kzz_prison_x 700.72 nike se
gbc_pacific_afternoon 225.09 DiLo cn
gbc_randombhop 69.41 Juby tw
gbc_randomblock 140.77 Juby tw
gbc_randomblock2 137.98 HaMMa tn
gbc_randomclimb 106.53 palaceskateboards cn
gbc_script_bgn_ez 42.08 Dolphin ru
gbc_script_block_h 5458.33 .script br
gbc_script_creepy_h 1116.4 .script br
gbc_towers 54.18 betty_k fi
gbc_towers2 174.3 nike se
gnk_brickbhop 20.66 shxKh hk
gnk_sunrise 17.8 aLeee ar
god_ancient_pyramid 96.9 colcol` hk
god_escape_b1 86.87 ZuZ ru
god_forcefact 47.91 .script br
god_secret_fabric 98.95 colcol` hk
go_axn_bhop 9.01 badgamer be
go_fastbhop 14.94 noxeR sk
go_fastrun 30.74 ZaeLeblE us
gr_block_ez 38.98 KenLawrence ru
gr_green 49.91 colcol` hk
gr_minibhop 16.23 sonii br
gr_miniblock 42.98 KenLawrence ru
gr_runez 38.94 colcol` hk
gr_smallhoph 26.71 Dolphin ru
gr_toon 44.04 fanzeng cn
guess_where 22.75 leleh1337 br
gulp_fastblock 13.54 Dolphin ru
gulp_imperial 10.19 talita ar
haf_bhuepf 45.67 lambdaaa kr
haf_blocksch 82.27 colcol` hk
haf_ronny 76.33 Adantoud ua
ham_bricks 232.26 inspare ru
ham_cavyspeed 0 n/a n-a
ham_denyaokhra 79.8 Juby tw
ham_ljs 84.49 Dolphin ru
ham_miniisland 48.63 mainz ru
hb_6das 25.69 Mrjuice ar
hb_adantoud 24.63 badgamer be
hb_analytical 45.26 6dAs uy
hb_Anduuu 209.42 Cupe ar
hb_Armageddon 44.86 sonii br
hb_bolt0x 11.85 talita ar
hb_Brandonn 79.27 vrvalsua ua
hb_bratan_prize 10.41 colcol` hk
hb_Camy 143.87 colcol` hk
hb_cd 107.84 Johnny fi
hb_Cheatometry 9.07 colcol` hk
hb_chrizzy 52.43 KenLawrence ru
hb_cobrex 66.78 PMSA cn
hb_cos 0 n/a n-a
hb_Crackpot 9.96 shxKh hk
hb_cupe 44.45 R4D14710N br
hb_d3sTiny 54.26 patchouli cn
hb_d3stiny3 17.62 shxKh hk
hb_d3stiny_by_b2d 120.42 alx rs
hb_dan 60.42 hrznnn de
hb_daza 234.35 shxKh hk
hb_daza2 60.6 wolv. br
hb_dubsickk 25.1 aLeee ar
hb_dudix 44.67 Nukk ru
hb_eclipzh 30.83 talita ar
hb_elITe 610.17 CaBeZa ar
hb_f1 29.71 KenLawrence ru
hb_fantasm 95.12 plst ru
hb_fiveshot 41.36 shxKh hk
hb_ftsky 13.97 wayz de
hb_Funnysmile 19.98 Funnysmile ge
hb_fykseN 647.17 fykseN cz
hb_ganja 12.04 shxKh hk
hb_geddyk 25.25 talita ar
hb_gene 79.69 colcol` hk
hb_gorbachev_x 232.89 .script br
hb_GurChikk 29.35 juhx ru
hb_hfz0r 19.85 yashiro br
hb_JKR 200.67 throttle by
hb_juhx_ez 9.7 prize ru
hb_juhx_kns 44.01 Zzz` us
hb_juhx_snow 17.69 shxKh hk
hb_kayne 12.33 Nukk ru
hb_KenLawrence 40.37 noxeR sk
hb_KenLawrence2 31.89 patchouli us
hb_kirman 33.73 colcol` hk
hb_kolobok 38.15 talita ar
hb_krom3 157.28 betty_k fi
hb_krzywy 34.87 hrznnn de
hb_lambdaaa 170.79 rze ru
hb_Legna 252.49 fykseN cz
hb_leleh 58.16 leleh1337 br
hb_mooxeve 56.1 plst ru
hb_MrJuice 36.84 Mrjuice ar
hb_noxer 97.52 hrznnn de
hb_ova 34.31 KenLawrence ru
hb_ovee 5.01 yashiro br
hb_p0burkaH 17.17 shxKh hk
hb_patchouli 1050.93 nike se
hb_patchouli_v2 216.63 Logitechhhhh tw
hb_piml 48.89 PMSA us
hb_plombear 19.29 Dolphin ru
hb_prize 36.2 colcol` hk
hb_psycho 54.37 KenLawrence ru
hb_PU9maker 0 n/a n-a
hb_PurpLeRainN 266.91 throttle by
hb_Rachel 41.35 colcol` hk
hb_rawe 32.7 Mrjuice ar
hb_RED 13.24 hoLy fr
hb_robostyler 41.13 badgamer be
hb_sanaa 59.73 colcol` hk
hb_sharks_miku 137.46 fykseN cz
hb_shNz 78.79 Zzz` us
hb_ShoCk 0 n/a n-a
hb_shystrik 37.08 KenLawrence ru
hb_slay3r 103.21 rze ru
hb_smk1337 34.35 6dAs uy
hb_sorryftw 18.75 sonii br
hb_sunako 0 n/a n-a
hb_s^Lo 37.79 shxKh hk
hb_tasi 22.02 yashiro br
hb_thg 62.41 Nukk ru
hb_tisha 42.58 wayz de
hb_Toraz_memeda 20.05 Zzz` cn
hb_toytoy 61.32 hrznnn de
hb_veenah 187.2 .script br
hb_ViDtam 25.58 juhx ru
hb_vla 37.82 Maotiao cn
hb_vns 38.28 KenLawrence ru
hb_vodkamouth 73.18 rawe ar
hb_vrvalsua 46.04 Dolphin ru
hb_wayz 10.11 shxKh hk
hb_Woody_right 21.28 Zzz` cn
hb_YRagoN92 0 n/a n-a
hb_Zzz 323.07 betty_k fi
heiho_bhop 144.87 Cupe ar
heiss_longjumps[250-255] 20.42 plst ru
heiss_longjumps[250x8] 25.86 plst ru
hfr_302 0 n/a n-a
hfr_apex 220.47 Juby tw
hfr_blur 0 n/a n-a
hfr_descent_h 0 n/a n-a
hfr_hb_ideclareWAR 145.65 Juby tw
hf_ljrun 0 n/a n-a
hf_rainforest2009 50.44 fanzeng cn
hits_shitbhop 72.08 DizZy tw
hit_canyonbhop 53.24 aLeee ar
hit_speedrock 18.76 aLeee ar
hm_36_units 11.04 6dAs uy
hm_aim_map 11.82 sonii br
hm_assault 5.51 Zzz` cn
hm_blockfun 33.58 colcol` hk
hm_carrera 144.27 Cupe ar
hm_castlebhop 14.88 noxeR sk
hm_ccble 6.42 Zzz` cn
hm_countdown 7.84 shxKh hk
hm_crazystairs 64.48 random lv
hm_dart 124.04 colcol` hk
hm_deathsphere 21.41 betty_k fi
hm_devsbhop_h 82.83 DizZy tw
hm_downbhop 52.6 sonii br
hm_duckbhop 15.89 izh se
hm_duckjumps_h 40.39 Cupe ar
hm_edgebug 15.79 juhx ru
hm_extreme 36.45 kzz1lla qa
hm_goldspeed 41.87 Mrjuice ar
hm_gravity 61.78 Dolphin ru
hm_hallez 150.6 memek pl
hm_iceslide_h 39.84 BuTaMuH lv
hm_ladder 18.09 drizz es
hm_milliseconds 11.12 shxKh hk
hm_newblocks 30.39 sick_ ua
hm_nuke 6.3 Zzz` cn
hm_office 5.63 Cupe ar
hm_pro_only 0 n/a n-a
hm_round 57.86 Mrjuice ar
hm_short 5.94 yashiro br
hm_slalom 17.01 DaTBuMz vn
hm_speedlight 128.02 aLeee ar
hm_speedlight2 42.16 Zzz` cn
hm_speedwinterz 82.27 translucent ru
hm_stairs 13.63 p0burkaH bg
hm_timeattack 4.85 shxKh hk
hm_towers 65.98 colcol` hk
hm_trainrun 9.99 translucent ru
hm_wolfenstein 599.43 ScraP de
hm_zickzack 22.56 juhx ru
hnscn_Cassiel_miniez 24.79 talita ar
hnscn_gigibhop_b1 12.61 yashiro br
hnslt_cliffmania 131.1 Mrjuice ar
hnslt_ice_block 176.51 hrznnn de
hnslt_raven_hops 62.6 translucent ru
hnslt_raven_hops[-md] 151.48 DizZy tw
hnslt_redcross 205.08 aLeee ar
hnslt_rockmania 162.11 Mrjuice ar
hnslt_speedometer 17.19 prize ru
hnslt_through_time 331.29 Cupe ar
holy_challengeaccepted 24.36 betty_k fi
holy_firstmap 15.29 juhx ru
holy_lame 355.81 patchouli cn
holy_somethingalamode 249.12 Johnny fi
holy_strafemaster 79.82 betty_k fi
hrbg_rabbitrun 83.62 shxKh hk
hrzn_2014 18.91 Dolphin ru
htr_brickblock 76.5 Cupe ar
htr_speedblock 23.81 talita ar
hyperscrolleR_2012 23.25 KenLawrence ru
hz_lostcastle 74.25 Nukk ru
ickz_dustytown 50.41 Nukk ru
ickz_ossuary 63.37 translucent ru
ih_5blocks 0.74 EnN1 cn
ih_5blocks[-md] 18.65 colcol` hk
ih_bigstairs_kwr 20.36 colcol` hk
ih_cbbleblock 149.15 JrG cn
ih_edgeforemma_kwr 0 n/a n-a
ih_fastrun_kwr 18.96 sonii br
ih_ljempire 50.98 Mrjuice ar
ih_mountainblock 26.67 hrznnn de
ih_nessbhop 82.65 DizZy tw
ih_oldstyle 11.92 wayz de
ih_radioactive 73.64 CaBeZa ar
ih_stageblock 104.41 CaBeZa ar
ih_stairmania 23.38 colcol` hk
ih_stairs_kwr 3.25 prize ru
ij_rockcave 77.58 fykseN cz
imao_rockclimb 197.9 Cupe ar
imkz_anturage 347.79 patchouli jp
imkz_cartoonbhop 16.8 Dolphin ru
imkz_contrast 55.65 Johnny fi
imkz_cratesclimb 39.06 talita ar
imkz_future-stairs 32.4 colcol` hk
imkz_junglebhop 26.69 DeathClaw ru
imkz_oldtown 126.86 alx rs
imkz_tsfh 0 n/a n-a
immo_wb 42.89 sick_ ua
indoorclimb_dp 142.89 Cupe ar
infrahealth_challenge_bhop 19.12 shxKh hk
infrahealth_challenge_fastclimb 36.07 plst ru
inskz_bhop_xmas_2012 16.13 translucent ru
inskz_smallcity 19.71 translucent ru
inskz_smallcity2 66.69 Dolphin ru
insomnia_egypthops 21.23 shxKh hk
ins_adventure 70.95 protoN no
ins_aim_headshot 27.32 hrznnn de
ins_aim_map_usp 41.87 plst ru
ins_ancientbhop 55.18 throttle by
ins_awp_india 35.01 Nukk ru
ins_axn_chessboard 55.53 badgamer fr
ins_aztecblock[easy] 38.15 zen br
ins_aztecblock[hard] 41.98 chip se
ins_bhopcomplex 27.91 Nukk ru
ins_bhopljs 12.74 juhx ru
ins_bhopljskills 33.18 Quality se
ins_bhopskills 26.55 juhx ru
ins_bhopstraferace 28.51 shxKh hk
ins_blacknwhite 33.65 talita ar
ins_blueline 9.23 shxKh hk
ins_boxclimbing 28.17 Zzz` cn
ins_boxrun 16.61 Dolphin ru
ins_boxrun_v2 18.36 Perfectslife cn
ins_brickblock 100.64 memek pl
ins_brickclimb 17.03 shxKh hk
ins_brickrun 23.28 Perfectslife cn
ins_brickvalley 26.39 Dolphin ru
ins_cactus 94.09 Cupe ar
ins_chessboard 30.67 Dolphin ru
ins_cityjump 18.86 wayz de
ins_cjskills 54.47 memek pl
ins_complex 172.54 .script br
ins_construction 27.82 talita ar
ins_crater[easy] 28.62 Nukk ru
ins_crater[hard] 35.11 talita ar
ins_cubeclimb 10.76 colcol` hk
ins_cursedbridge 45.72 Dolphin ru
ins_darkmountain 35.45 cahz0r ro
ins_down 50.64 random lv
ins_duckrun 18.47 Fastshot ru
ins_flowergarden 44.83 sick_ ua
ins_fuji 184.1 Johnny fi
ins_fy_snow 26.71 KenLawrence ru
ins_ghettobhop 70.25 DizZy tw
ins_hlteaser 26.33 Dolphin ru
ins_iceblock 110.31 Cupe ar
ins_icevalley 287.63 Cupe ar
ins_inferno 27.39 Dolphin ru
ins_ink 69.16 Cupe ar
ins_iraqmountain 28.32 talita ar
ins_kurenogoes17 39.71 talita ar
ins_ljblocks 35.41 throttle by
ins_ljskills 27.89 Mrjuice ar
ins_lj_wrs 4.5 inspare ru
ins_mario 47.94 badgamer be
ins_marioblock 59.51 colcol` hk
ins_mega_maze 360.33 GODS ru
ins_memorybhop 68.88 shxKh hk
ins_minicastle_ez 14.17 lambdaaa kr
ins_minicastle_h 16.84 juhx ru
ins_mini_awp_arabia 40.22 juhx ru
ins_mini_bhop 18.9 sick_ ua
ins_mini_dev 40.94 KenLawrence ru
ins_mini_gravity 24.96 Dolphin ru
ins_mini_island 44.91 hrznnn de
ins_mountcore 38.39 talita ar
ins_neonblock 227.16 colcol` hk
ins_neonblock_h 260.94 Johnny fi
ins_night_h 45.59 talita ar
ins_oldstorage 57.16 Zzz` cn
ins_oldtemple 34.45 Dolphin ru
ins_outofspace 42.4 yashiro br
ins_pyramid 66.36 6das uy
ins_redline 11.03 Ranma kr
ins_riverhop 23.98 juhx ru
ins_rockclimb 60.4 Zzz` us
ins_scoutzknivez 74.09 hrznnn de
ins_sitka_2012 21.39 zuveeh no
ins_skyscraper 70.92 sick_ ua
ins_slideskills 27.42 sick_ ua
ins_slide_maze 46.18 yasno ru
ins_snake 44.2 shxKh hk
ins_snowvalley 70.2 Nukk ru
ins_squared 51.63 talita ar
ins_toonblock 29.38 colcol` hk
ins_train_f 66.71 hrznnn de
ins_tree 32.88 talita ar
ins_waterway 15.22 sonii br
ins_white 167.34 fanzeng cn
ins_x 0 n/a n-a
ins_xmas 36.62 inflight ru
ins_xtrm_maya 71.31 betty_k fi
ins_yellowline 13.76 Zzz` us
in_extreme 648.87 .script br
ivansky_2013 35.31 juhx ru
ivansky_friendscrib 115.63 hrznnn de
ivns_2cool4school 70.24 SherRan tw
ivns_armageddon_2016 75.43 Mutsuki cn
ivns_bhop_anubis 28.98 fanzeng cn
ivns_bhop_apartment 42.37 Dolphin ru
ivns_blacknwhite 24.18 Dolphin ru
ivns_boxed 11.76 commicos bg
ivns_canyon 48.85 Mrjuice ar
ivns_cobalt 27.82 Mrjuice ar
ivns_easyclimb 38.27 Zzz` cn
ivns_freestyle 28.05 Cupe ar
ivns_green 12.79 Nukk ru
ivns_green2 19.81 talita ar
ivns_green3 30.19 juhx ru
ivns_green4 29.46 Mrjuice ar
ivns_hb_hrzn 63.19 shxKh hk
ivns_hb_smk1337 24.13 klincheR bg
ivns_kzex_minecraft 34.94 shxKh hk
ivns_lazybl0ck 29.66 Mrjuice ar
ivns_lonely 26.47 rawe ar
ivns_minicity 35.39 shxKh hk
ivns_neon_ljs 19.28 colcol` hk
ivns_orangez 28.17 Mrjuice ar
ivns_orangez2 31.11 Dolphin ru
ivns_orangez_x 25.27 betty_k fi
ivns_sandy 60.99 hrznnn de
ivns_sandybl0ck 181.4 Maotiao cn
ivns_speed 43.2 hrznnn de
ivns_stairs 38.21 colcol` hk
ivns_undergroundcliff 38.86 fanzeng cn
ivns_winterbhop_h 47.3 plst ru
iv_hopping 27.8 yashiro br
iv_hopping[256] 11.26 yashiro br
j0x_firstmap 14.61 talita ar
j0x_ljrun 25.26 Mrjuice ar
j2s_colorclimb 155.61 badgamer be
Jacken_2012 33.69 sonii br
jagkz_bhoptoquio 35.78 sonii br
jagkz_cobhop 32.34 Mrjuice ar
jagkz_fastruns 56.46 colcol` hk
jagkz_inferno 53.36 hrznnn de
jhf_sandybhop 227.04 translucent ru
jkee_egyptbhop_ez 73.79 patchouli jp
JKR_ZuoDieBl0ck 0 n/a n-a
JKR_ZuoDieBl0ck_ez 554.37 Berkut ua
jkz_winterhopez 73.06 DizZy tw
jmp_bhopNslide 121.97 sick_ ua
jmp_darktemple 47.21 talita ar
JustErroR_2012 24.65 Skizo_ hu
just_260 15.38 yashiro br
just_firstclimb 0 n/a n-a
just_hardbhop 158.57 Juby tw
just_tr1 35.56 shxKh hk
jx_ljrace 20.57 sonii br
jx_ljrace2 20.47 sonii br
k0untr0N_2012 73.16 Memories ar
kaspek_bingo_e 57.1 Mrjuice ar
kaspek_caverna_v1 25.5 betty_k fi
kaspek_czpk_ljkz 47.76 Mrjuice ar
kaspek_czpk_ljkz_v2 24.83 juhx ru
kaspek_kreedztutorial_easy 27.9 Dolphin ru
kaspek_manianadoyhistoria 38.78 betty_k fi
kaspek_metalico 0 n/a n-a
kaspek_mickypuff_lc 0 n/a n-a
kaspek_minicity_v1 17.36 prize ru
kaspek_precisionv1 35.2 Cupe ar
kaspek_tramposos 33.21 betty_k fi
kaspek_Viva_LyNn 18.07 juhx ru
kek_google 32.05 Dolphin ru
KeltA_2012 67.79 anker ve
key_izii 47.29 KenLawrence ru
key_kh 67.3 sonii br
Key_mariobhop 27.31 Mrjuice ar
key_shortmount 37.19 sonii br
key_smalltemple 48.29 toytoy fr
key_xmas11 55.2 Infinity bg
kf_260 3.16 Dolphin ru
kf_3ways 29.55 Dolphin ru
kf_4stages 129.89 Dolphin ru
kf_ditch 24.76 Dolphin ru
kf_fastclimb 80.5 colcol` hk
kf_fortune 14.47 KenLawrence ru
kf_hardbhop 21.67 juhx ru
kf_rainforest 31.71 sick_ ua
kg_duckbhopz 18.97 prize ru
kg_duckbhopz_v2 97.53 colcol` hk
kg_duckhops_flawless 409.67 inspare ru
kg_sneakster 85.85 Cupe ar
khj_abbybhop 83.39 promax rs
khj_snowbhop 55.39 Cupe ar
kh_adv 48.33 DizZy tw
kh_duckz 11.24 prize ru
kh_eiye 21.41 KenLawrence ru
kh_fastauch 13.73 talita ar
kh_fastauch2 28.09 talita ar
kh_fhk 58.82 sonii br
kh_fraize 41.26 aloprando br
kh_harcks 23.85 talita ar
kh_harcks2 37.41 talita ar
kh_kiwy 50.71 KenLawrence ru
kh_merciless 15.2 wayz de
kh_phrenzie 33.9 talita ar
kh_sa 50.42 Nukk ru
kh_txtr 56.08 wolv. br
kis_eZjumpZ 44.1 Mrjuice ar
kis_stairjump 15.29 colcol` hk
kis_zigzagbhop_ez 121.9 Dolphin ru
kis_zigzagbhop_h 157.92 Mrjuice ar
klbk_aox1k 5.93 prize ru
klbk_assault 52.71 talita ar
klbk_baptakhops 25.06 6dAs uy
klbk_beachhop 27.51 plst ru
klbk_bjrace[e] 32.62 Dubstep ru
klbk_bjrace[xtreme] 12.9 Sharks cn
klbk_citylongjumps2[228-233] 13.08 sonii br
klbk_citylongjumps2[234-239] 13.03 sonii br
klbk_citylongjumps[216-221] 12.92 sonii br
klbk_citylongjumps[222-227] 13.09 sonii br
klbk_climb 96.58 hrznnn de
klbk_darktime 119.68 fykseN cz
klbk_down 29.76 Dolphin ru
klbk_downway 8.91 aero. me
klbk_edgefun 4.5 Skizo_ hu
klbk_funny_slide 25.19 BuTaMuH lv
klbk_go 40.45 Mrjuice* ar
klbk_hops 32.27 shxKh hk
klbk_kakyl9 31.97 Cupe ar
klbk_marketbhop 34.91 shxKh hk
klbk_militaryschool 20.68 sick_ ua
klbk_nature 68.94 colcol` hk
klbk_oldtjs 36.58 Dolphin ru
klbk_oldtjs_hard 78.66 Johnnyy fi
klbk_random 56.07 KenLawrence ru
klbk_shortly 56.6 hrznnn de
klbk_sliderock 7.18 yasno ru
klbk_speedblock 24.36 6dAs uy
klbk_stairs 28.12 colcol` hk
klbk_summer 57.76 hrznnn de
klbk_ubahboxes 21.35 colcol` hk
klbk_waterrun 5.25 Dolphin ru
klbk_waterrun_long 13.09 Np_O fr
klbk_wintertemple 37.33 talita ar
